order_id,customer_name,region,category,sales,quantity,order_date
1,Customer_103,West,Home,14.3,9,2025-01-01 00:00:00
2,Customer_349,North,Home,565.31,5,2025-01-01 01:00:00
3,Customer_271,West,Books,141.42,9,2025-01-01 02:00:00
4,Customer_107,South,Home,105.33,7,2025-01-01 03:00:00
5,Customer_72,North,Clothing,333.07,7,2025-01-01 04:00:00
6,Customer_189,East,Clothing,361.37,6,2025-01-01 05:00:00
7,Customer_21,West,Electronics,80.75,2,2025-01-01 06:00:00
8,Customer_103,West,Clothing,236.58,9,2025-01-01 07:00:00
9,Customer_122,North,Home,294.91,6,2025-01-01 08:00:00
10,Customer_215,South,Clothing,212.64,8,2025-01-01 09:00:00
11,Customer_331,North,Books,32.88,1,2025-01-01 10:00:00
12,Customer_88,South,Electronics,417.31,5,2025-01-01 11:00:00
13,Customer_373,South,Home,154.91,1,2025-01-01 12:00:00
14,Customer_100,West,Electronics,66.39,8,2025-01-01 13:00:00
15,Customer_360,North,Home,110.76,8,2025-01-01 14:00:00
16,Customer_152,North,Books,7.66,1,2025-01-01 15:00:00
17,Customer_131,South,Electronics,27.36,9,2025-01-01 16:00:00
18,Customer_150,North,Toys,290.1,2,2025-01-01 17:00:00
19,Customer_309,East,Home,0.0,9,2025-01-01 18:00:00
20,Customer_258,East,Toys,107.76,1,2025-01-01 19:00:00
21,Customer_344,North,Electronics,147.84,9,2025-01-01 20:00:00
22,Customer_294,North,Toys,11.24,4,2025-01-01 21:00:00
23,Customer_386,South,Toys,722.96,9,2025-01-01 22:00:00
24,Customer_192,East,Electronics,51.27,7,2025-01-01 23:00:00
25,Customer_277,East,Books,72.54,6,2025-01-02 00:00:00
26,Customer_161,West,Toys,72.46,5,2025-01-02 01:00:00
27,Customer_314,South,Toys,52.38,9,2025-01-02 02:00:00
28,Customer_22,West,Books,0.29,2,2025-01-02 03:00:00
29,Customer_253,East,Toys,261.38,2,2025-01-02 04:00:00
30,Customer_236,South,Toys,681.32,9,2025-01-02 05:00:00
31,Customer_345,North,Toys,50.8,3,2025-01-02 06:00:00
32,Customer_49,South,Clothing,217.56,8,2025-01-02 07:00:00
33,Customer_59,North,Books,270.88,9,2025-01-02 08:00:00
